deviceId~2,latitude,longitude,speed~1,reliability~4,satellite,type~4,lock~4,isoDate~9
57K9092,10.889485,106.816734,0.0,0.0,0,1,1,Wed Sep 10 00:00:04 ICT 2014
57L7063,10.70245,106.56978,0.0,0.0,0,1,0,Wed Sep 10 00:00:15 ICT 2014
57L4415,10.68426,107.02358,36.0,0.0,0,1,1,Wed Sep 10 00:00:03 ICT 2014
53N4125,10.831471,106.74196,0.0,0.0,0,1,0,Wed Sep 10 00:00:15 ICT 2014
62L3198,10.569698,106.59377,0.0,0.0,0,1,0,Wed Sep 10 00:00:01 ICT 2014
51C28945,10.77211,106.73648,19.0,0.0,0,1,1,Wed Sep 10 00:00:12 ICT 2014
51C31939,10.858678,106.60303,0.0,0.0,0,1,0,Wed Sep 10 00:00:16 ICT 2014
51C19297,10.85159,106.78423,0.0,0.0,0,1,0,Wed Sep 10 00:00:10 ICT 2014
57L9557,10.889491,106.81686,0.0,0.0,0,1,0,Wed Sep 10 00:00:16 ICT 2014
51B05255,10.80407,106.69029,0.0,0.0,0,1,0,Wed Sep 10 00:00:13 ICT 2014
60C14661,10.909265,106.893654,0.0,0.0,0,1,0,Wed Sep 10 00:00:17 ICT 2014
53S8911,10.758569,106.61102,0.0,0.0,0,1,0,Wed Sep 10 00:00:16 ICT 2014
53U1782,10.8741,106.6004,0.0,0.0,0,1,0,Wed Sep 10 00:00:17 ICT 2014
51B03031,10.856497,106.7444,0.0,0.0,0,1,0,Wed Sep 10 00:00:16 ICT 2014
51C15551,10.798003,106.80881,0.0,0.0,0,1,0,Wed Sep 10 00:00:05 ICT 2014
51A52073,10.73146,106.62295,0.0,0.0,0,1,0,Wed Sep 10 00:00:01 ICT 2014
51C21395,10.75186,106.73161,0.0,0.0,0,1,1,Wed Sep 10 00:00:18 ICT 2014
6673,10.866091,106.76053,0.0,0.0,0,1,0,Wed Sep 10 00:00:18 ICT 2014
51C17804,10.871,106.8162,0.0,0.0,0,1,0,Wed Sep 10 00:00:18 ICT 2014
51E01956,10.73987,106.64534,0.0,0.0,0,1,0,Wed Sep 10 00:00:14 ICT 2014
51B13464,10.75444,106.71176,0.0,0.0,0,1,0,Wed Sep 10 00:00:13 ICT 2014
54U3109,10.95495,107.02906,40.0,0.0,0,1,1,Wed Sep 10 00:00:17 ICT 2014
03443,10.914673,106.84537,0.0,0.0,0,1,0,Wed Sep 10 00:00:19 ICT 2014
57L9314,10.765116,106.77433,0.0,0.0,0,1,0,Wed Sep 10 00:00:08 ICT 2014
51C27755,10.85167,106.78417,0.0,0.0,0,1,0,Wed Sep 10 00:00:17 ICT 2014
02263,10.826671,106.756836,0.0,0.0,0,1,1,Wed Sep 10 00:00:08 ICT 2014
72C00323,10.909303,106.89404,0.0,0.0,0,1,0,Wed Sep 10 00:00:20 ICT 2014
53S7237,10.976024,106.476166,0.0,0.0,0,1,0,Wed Sep 10 00:00:19 ICT 2014
53N7888,10.73392,106.61392,0.0,0.0,0,1,0,Wed Sep 10 00:00:16 ICT 2014
53S8862,10.6632,106.61,0.0,0.0,0,1,0,Wed Sep 10 00:00:20 ICT 2014
57K5061,10.738723,106.94121,0.0,0.0,0,1,0,Wed Sep 10 00:00:20 ICT 2014
51B04396,10.775231,106.65923,0.0,0.0,0,1,0,Wed Sep 10 00:00:21 ICT 2014
54Z9546,10.94695,106.97864,0.0,0.0,0,1,0,Wed Sep 10 00:00:14 ICT 2014
60C10358,10.76879,106.95792,0.0,0.0,0,1,0,Wed Sep 10 00:00:10 ICT 2014
54Z4931,10.96306,106.53673,0.0,0.0,0,1,0,Wed Sep 10 00:00:16 ICT 2014
51B07431,10.79326,106.66406,0.0,0.0,0,1,0,Wed Sep 10 00:00:17 ICT 2014
51C28945,10.77194,106.7364,0.0,0.0,0,1,1,Wed Sep 10 00:00:17 ICT 2014
53U1621,10.789,106.661,0.0,0.0,0,1,0,Wed Sep 10 00:00:22 ICT 2014
51C06068,10.86023,106.66343,0.0,0.0,0,1,0,Wed Sep 10 00:00:17 ICT 2014
53S0827,10.7406,106.6195,0.0,0.0,0,1,0,Wed Sep 10 00:00:22 ICT 2014
54U3656,10.8502,106.78346,0.0,0.0,0,1,0,Wed Sep 10 00:00:17 ICT 2014
60C11145,10.768815,106.95792,0.0,0.0,0,1,0,Wed Sep 10 00:00:11 ICT 2014
60P0125,10.710583,107.00463,0.0,0.0,0,1,0,Wed Sep 10 00:00:22 ICT 2014
53N5203,10.943133,106.530045,0.0,0.0,0,1,0,Wed Sep 10 00:00:23 ICT 2014
51D00059,10.80721,106.66058,0.0,0.0,0,1,0,Wed Sep 10 00:00:21 ICT 2014
57M2822,10.888353,106.81662,0.0,0.0,0,1,1,Wed Sep 10 00:00:12 ICT 2014
60C11706,10.895838,106.865326,0.0,0.0,0,1,0,Wed Sep 10 00:00:24 ICT 2014
61C07977,10.744228,106.9602,0.0,0.0,0,1,0,Wed Sep 10 00:00:13 ICT 2014
51C14551,10.889866,106.8346,0.0,0.0,0,1,0,Wed Sep 10 00:00:24 ICT 2014
51C18095,10.827191,106.93858,0.0,0.0,0,1,0,Wed Sep 10 00:00:01 ICT 2014
60C00319,10.871213,106.80727,24.0,0.0,0,1,1,Wed Sep 10 00:00:11 ICT 2014
03066,10.914771,106.84511,0.0,0.0,0,1,0,Wed Sep 10 00:00:14 ICT 2014
51C22042,10.760251,106.73336,0.0,0.0,0,1,0,Wed Sep 10 00:00:25 ICT 2014
51C29643,10.77051,106.76956,0.0,0.0,0,1,0,Wed Sep 10 00:00:20 ICT 2014
51B13339,10.73738,106.63844,0.0,0.0,0,1,0,Wed Sep 10 00:00:26 ICT 2014
51C04537,10.73427,106.64105,0.0,0.0,0,1,0,Wed Sep 10 00:00:20 ICT 2014
57L6130,10.888345,106.81691,0.0,0.0,0,1,0,Wed Sep 10 00:00:15 ICT 2014
51B10208,10.871852,106.61279,0.0,0.0,0,1,0,Wed Sep 10 00:00:23 ICT 2014
53S7469,10.75447,106.71173,0.0,0.0,0,1,1,Wed Sep 10 00:00:25 ICT 2014
